#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2020-12-27 22:58:24 EST     (caww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01593500 LITTLE PATUXENT RIVER AT GUILFORD, MD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01593500	56	1937-05-12 14:20:00	EDT	Yes	LBP	USGS	2.30	46.3	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	46.3	33.0	37.6	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	57	1937-07-09 16:05:00	EDT	Yes	ADA	USGS	1.95	21.2	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	21.2	32.0	27.1	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	58	1937-08-05 09:50:00	EDT	Yes	LBP	USGS	1.84	16.5	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	16.5	32.0	30.5	0.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	59	1937-09-04 11:25:00	EDT	Yes	ADA	USGS	1.91	19.8	Good	0.00	1.90	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	19.8	31.0	31.7	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	60	1937-10-08 12:05:00	EST	Yes	ADA	USGS	1.88	16.0	Good	0.00	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	16.0	31.0	31.6	0.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	61	1937-10-08 13:25:00	EST	Yes	ADA	USGS	1.88	16.2	Good	0.00	0.40	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	16.2	20.0	16.0	1.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	62	1937-11-17 09:10:00	EST	Yes	ADA	USGS	2.40	56.3	Good	0.00	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	56.3	25.0	33.7	1.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	63	1938-01-20 12:00:00	EST	Yes	ADA	USGS	2.15	33.2	Good	0.04	0.80	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	33.2	22.5	25.2	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	64	1938-02-28 09:20:00	EST	Yes	LBP	USGS	2.22	35.2	Good	-0.04	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	35.2	33.0	36.2	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	65	1938-03-04 14:35:00	EST	Yes	LBP	USGS	2.26	41.1	Good	0.00	1.00	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	41.1	34.0	40.4	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	66	1938-04-04 08:05:00	EST	Yes	LBP	USGS	2.20	37.1	Good	0.00	0.90	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	37.1	34.0	37.1	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	67	1938-05-26 15:50:00	EDT	Yes	THO	USGS	2.52	69.9	Fair	0.00	0.40	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	69.9	34.5	48.3	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	68	1938-06-28 15:10:00	EDT	Yes	LBP	USGS	1.97	23.2	Good	-0.01	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	23.2	31.0	28.3	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	69	1938-08-16 10:30:00	EDT	Yes	ADA	USGS	1.66	9.79	Good	0.00	0.30	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	9.79	17.5	13.6	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	70	1938-10-05 16:05:00	EST	Yes	ADA	USGS	1.70	10.8	Good	0.00	0.30	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	10.8	17.0	15.3	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	71	1938-11-08 09:30:00	EST	Yes	JFK/ASH	USGS	1.81	14.6	Good	0.00	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	14.6	18.5	18.2	0.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	72	1938-12-16 09:10:00	EST	Yes	ADA	USGS	1.86	12.2	Poor	-0.04	0.60	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	12.2	18.0	17.6	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01593500	73	1938-12-16 11:00:00	EST	Yes	ADA	USGS	1.92	19.5	Fair	0.02	0.30	Clear	NONE	1	Imported Channel 1	WADE	unspe	unkno	19.5	19.0	20.0	0.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
